"","Q1.Eco.Info.Important","Q2.Belief.In.Eco.Label","Q3.Understand.Eco.Certificate","Q4.Individuals.Can.Improve.Environment","Q5.Corporation.Can.Improve.Environment","Q6.Need.Eco.Certificate.Fashion","Q7.Eco.Cert.Help.Buyers","Q8.Seek.For.Eco.Cert.Clothes","Q9.Buy.Eco.Product","Q10.Pay.More.For.Eco.Products","Q11.Pay.Premium.For.Eco.Clothing","Q12.Ready.To.Pay.More.For.Certified.Eco.Products","Q13.Reduce.Consumption","Q14.Protect.Environment","Q15.Purchase.Less.Harmful.Clothing","Q16.Avoid.Buying.Harmful.Products","Q17.Support.Environmental.Protection","Q18.Rather.Buy.Eco.Clothes","Q19.Price.Of.Eco.Products.More.On.Average","Q20.Prefer.Purchase.More.Expensive.Clothing","Q21.Eco.Label.Brand.Socially.Acceptable","Q22.Rather.Stick.With.Conventional.Brand.Than.Eco.Brand","Q23.Rarely.Swith.Brand.To.Try.Something.New","Q24.No.Different.To.Me.Eco.Clothing.Is.Not.Branded","Q25.Eco.Clothing.More.Fashionable","Q26.Eco.Clothing.Quality.Higher","Q27.Country.Can.Positively.Influence.Environment","Q28.Support.Eco.Protection.Socially.Responsible","Q29.Satisfied.Purchasing.Eco.Clothing","Q30a.Fair.Trade","Q30b.Fair.And.Care","Q30c.Global.Organic.Textile.Standard","Q30d.Fair.Wear.Foundation","Q30e.Clean.Clothes.Campaign","Q30f.Oeko.Tex","Q30g.I.Know.None.Of.Them","Q31a.Fit","Q31b.Comfort","Q31c.Fibre.Material","Q31d.Quality.Workmanship","Q31e.Garment.Life","Q31f.Colour","Q31g.Style","Q31h.Brand","Q31i.Price","Q31j.COO","Q31k.Durability","Q31l.Certified.Eco.Label","Q31m.Certified.Ethical.Label","Q38a.Less.Water.Use","Q38b.Air.Quality","Q38c.Less.Energy.Use","Q38d.Worker.Safety","Q38e.Fair.Wages","Q38f.No.Child.Labour","Q38g.No.Animal.Skin.Use","Q32.Last.Of.My.Circle.Knowing.Latest.Designers.And.Trends","Q33.Little.Shopping.New.Fashion.Than.My.Friends","Q34.Last.Of.My.Circle.Purchase.New.Fashion","Q35.Faster.Knowing.More.About.New.Fashion.Than.Others","Q36.Interest.Buying.Locally.Available.New.Style","Q37.Consider.Buying.New.Styles.Without.Heard.About.It","Q39.Annual.Spending.On.Clothes","Q40.Employment.Status","Q41.Sex","Q42.Income","Q43.Age","Q44.Highest.Level.Of.Education","total_score","product_cues_1_10","product_cues_11_13","product_cues_1_13","production_cues_a_g","product_cues_8_10","product_cues_1_7_11_13","aesthetic_aspect","functional_aspect","sustainable_commitment","fashion_innovativeness"
"1490","high","low","high","low","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","high","high","high","low",1,"Male",1,1,2,18,"high","high","high","high","high","high","high","high","high","low"
"1491","high","high","high","high","high","high","high","high","high","low","high","high","high","high","high","high","high","high","high","low","low","high","high","low","high","high","high","high","high",1,NA,NA,NA,NA,NA,NA,"high","high","high","high","high","high","high","low","high","low","high","high","high","high","high","high","high","high","high","high","low","low","low","low","low","low","low",1,"Female",1,1,2,16,"high","low","high","high","high","high","high","high","high","low"
"1492","high","high","high","high","high","high","high","high","high","high","low","low","high","high","high","high","high","high","low","low","high","low","low","low","high","low","high","high","high",NA,NA,1,NA,NA,NA,NA,"high","low","low","high","low","high","high","low","high","low","low","high","high","high","high","high","high","high","high","high","low","low","low","low","low","high","low",1,"Male",1,1,2,17,"low","low","low","high","low","low","high","low","high","low"
"1493","high","high","high","high","high","high","high","high","high","low","low","low","high","high","high","high","high","low","high","low","high","low","low","low","low","high","high","high","low",NA,NA,1,NA,NA,NA,NA,"high","high","high","high","high","high","high","high","high","low","high","low","high","high","high","high","high","high","low","low","low","low","low","low","low","low","low",1,"Male",1,1,2,18,"high","high","high","low","high","high","high","high","low","low"
"1494","high","low","high","low","high","low","high","high","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low",NA,NA,1,NA,NA,NA,NA,"low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low",1,"Male",3,1,2,18,"low","low","low","low","low","low","low","low","low","low"
"1495","high","high","low","high","high","high","high","low","low","low","low","low","high","high","low","high","high","high","low","low","low","low","low","low","low","low","high","high","low",NA,NA,NA,NA,NA,NA,1,"high","high","low","high","high","low","low","low","low","low","high","high","high","high","high","low","high","low","high","high","low","low","low","low","low","low","low",1,"Female",1,1,2,18,"low","low","low","low","high","low","low","high","low","low"
"1496","high","high","low","high","high","high","high","high","high","low","low","low","high","high","high","high","high","high","high","low","high","low","high","high","high","high","high","high","high",NA,1,1,NA,NA,NA,NA,"high","high","high","high","high","low","low","low","high","low","high","high","high","low","low","high","high","low","high","high","low","low","low","low","low","low","low",1,"Male",1,1,2,12,"high","high","high","high","high","low","low","high","high","low"
"1497","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high",1,NA,NA,NA,NA,NA,NA,"high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","high","high","high","low",1,"Male",1,1,2,18,"high","high","high","high","high","high","high","high","high","low"
"1498","high","high","high","high","high","high","high","high","low","low","low","low","low","high","high","high","high","high","low","high","high","low","low","low","low","low","high","high","low",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","low","low","low","high","high","high","low","high","low","high","high","high","high","high","high","low","low","low","low","low","low","high",1,"Male",1,1,2,16,"high","high","high","high","high","high","low","high","high","low"
"1499","high","low","low","high","high","low","low","low","low","high","low","low","low","low","low","low","high","low","low","low","low","low","low","low","low","low","low","low","low",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","high","high","low","high","low","high","low","low","low","high","high","high","high","high","high","high","high","low","high","high","high","low",1,"Male",2,1,2,24,"high","high","high","high","low","high","high","high","low","high"
"1500","high","high","high","high","high","high","high","low","high","low","low","low","low","high","high","low","high","low","low","low","low","low","low","low","low","low","high","high","high",1,NA,1,NA,NA,1,NA,"high","high","high","high","high","high","high","low","low","high","high","low","low","high","high","low","low","high","high","low","high","low","low","low","low","high","high",1,"Female",1,1,2,20,"low","low","low","low","low","low","high","high","low","low"
"1501","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high",NA,NA,1,NA,NA,NA,NA,"high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","high","high","high","low",1,"Male",1,1,5,18,"high","high","high","high","high","high","high","high","high","low"
"1502","high","high","high","high","high","high","high","low","high","low","high","low","high","high","low","low","high","high","low","high","high","high","high","low","high","low","low","low","low",1,NA,1,NA,NA,NA,NA,"high","high","high","high","high","high","high","low","low","high","high","low","high","low","high","high","high","high","high","high","low","low","low","low","low","low","low",1,"Female",2,1,2,15,"high","low","low","high","low","high","high","high","low","low"
"1503","high","low","high","high","high","high","high","low","high","high","high","high","low","high","high","high","high","high","low","high","high","low","high","low","high","high","low","high","low",1,NA,NA,NA,NA,NA,NA,"high","high","high","high","high","high","high","high","high","low","high","high","high","low","low","high","low","high","high","high","high","high","high","high","high","high","high",1,"Male",11,1,3,29,"high","high","high","low","high","high","high","high","high","high"
"1504","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high",1,1,1,1,1,1,NA,"high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","high","high","high","low",1,"Male",1,1,2,18,"high","high","high","high","high","high","high","high","high","low"
"1505","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high",NA,NA,1,1,1,NA,NA,"high","high","high","high","low","high","high","low","low","low","high","high","high","high","high","high","high","high","high","low","low","low","low","high","high","high","low",1,"Male",1,1,1,17,"high","low","high","high","high","high","high","high","high","low"
"1506","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","high","high","high","high","high","high","high","high",1,1,1,1,1,1,1,"high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","low","low","high","low","low","low","high","high","high","low",1,"Male",1,2,1,19,"high","high","high","low","high","high","high","high","high","low"
"1507","low","high","high","high","high","high","high","high","high","low","low","low","low","high","low","low","high","low","low","low","low","low","low","low","low","high","high","high","low",NA,NA,NA,NA,NA,NA,1,"high","low","low","low","low","low","low","low","high","low","high","low","low","low","low","high","high","high","high","high","low","low","low","low","low","low","low",1,"Male",4,1,2,14,"low","low","low","low","low","low","low","low","low","low"
"1508","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","high","low","high","low","low","low","low","low","low","high","high",NA,NA,NA,NA,NA,NA,1,"high","high","high","high","high","high","high","low","high","low","high","high","high","low","low","low","high","high","high","high","low","high","high","low","low","low","low",1,"Female",2,1,2,20,"high","low","low","high","high","low","high","high","high","low"
"1509","high","low","high","high","high","high","high","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low",NA,NA,1,NA,NA,NA,NA,"high","high","high","high","low","high","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low","low",1,"Female",1,1,2,18,"low","low","low","low","low","low","low","low","low","low"
"1510","low","low","low","high","high","high","high","high","high","low","high","high","high","high","high","high","high","high","low","high","high","low","low","low","low","low","low","low","low",NA,NA,NA,NA,NA,NA,1,"high","high","low","high","high","low","high","low","high","low","low","low","low","low","low","low","low","low","high","low","low","low","low","low","low","low","low",1,"Female",1,1,1,17,"low","low","low","low","low","low","low","high","high","low"
